Date Of Death Year,Date Of Death Month,Sex,Race/Ethnicity,AgeGroup,AllCause,NaturalCaus,Septicemia (A40-A41),Malignant neoplasms (C00-C97),Diabetes mellitus (E10-E14),Alzheimer disease (G30),Influenza and pneumonia (J09-J18),Chronic lower respiratory diseases (J40-J47),"Other diseases of respiratory system (J00-J06,J30-J39,J67,J70-J98)","Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)","Diseases of heart (I00-I09,I11,I13,I20-I51)",Cerebrovascular diseases (I60-I69),"COVID-19 (U071, Multiple Cause of Death)","COVID-19 (U071, Underlying Cause of Death)",AnalysisDate,flag_allcause,flag_natcause,flag_sept,flag_neopl,flag_diab,flag_alz,flag_inflpn,flag_clrd,flag_otherresp,flag_nephr,flag_otherunk,flag_hd,flag_stroke,flag_cov19mcod,flag_cov19ucod,Start Date,End Date,Jurisdiction of Occurrence
2020,11,Female,Non-Hispanic Black,0-4 years,244,223,,,0,0,0,0,,,46,,,,,05/10/2021,,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,,,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,11/01/2020,11/30/2020,United States
2020,11,Female,Non-Hispanic Black,5-14 years,39,25,0,,,0,0,,,0,,,0,,,05/10/2021,,,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,11/01/2020,11/30/2020,United States
2020,11,Female,Non-Hispanic Black,15-24 years,174,73,,,,0,,,,0,,13,,,,05/10/2021,,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,11/01/2020,11/30/2020,United States
2020,11,Female,Non-Hispanic Black,25-34 years,429,237,,23,21,0,,,,,12,42,,24,22,05/10/2021,,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,,11/01/2020,11/30/2020,United States
2020,11,Female,Non-Hispanic Black,35-44 years,635,494,,84,33,0,,15,,11,23,96,18,53,44,05/10/2021,,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,,,,,,11/01/2020,11/30/2020,United States
2020,11,Female,Non-Hispanic Black,45-54 years,"1,170",1044,25,195,64,0,17,24,,36,24,237,50,143,130,05/10/2021,,,,,,,,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,,,,,,11/01/2020,11/30/2020,United States
2020,11,Female,Non-Hispanic Black,55-64 years,"2,686",2535,65,659,141,,30,73,40,68,30,544,113,340,311,05/10/2021,,,,,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,,,,,,,,,11/01/2020,11/30/2020,United States
2020,11,Female,Non-Hispanic Black,65-74 years,"3,832",3754,86,859,212,55,49,131,40,111,18,841,204,574,521,05/10/2021,,,,,,,,,,,,,,,,11/01/2020,11/30/2020,United States
2020,11,Female,Non-Hispanic Black,75-84 years,"3,753",3686,76,594,176,189,50,126,41,119,30,806,257,598,534,05/10/2021,,,,,,,,,,,,,,,,11/01/2020,11/30/2020,United States
2020,11,Female,Non-Hispanic Black,85 years and over,"4,223",4170,59,361,147,388,48,109,42,121,49,941,374,574,493,05/10/2021,,,,,,,,,,,,,,,,11/01/2020,11/30/2020,United States
2020,11,Female,Non-Hispanic White,0-4 years,327,286,,,0,0,,,,,40,,,,,05/10/2021,,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,11/01/2020,11/30/2020,United States
2020,11,Female,Non-Hispanic White,5-14 years,82,47,,16,0,0,0,0,,0,,,0,,,05/10/2021,,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,,,,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,11/01/2020,11/30/2020,United States
2020,11,Female,Non-Hispanic White,15-24 years,413,134,,28,,0,,,,,10,15,,,,05/10/2021,,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,11/01/2020,11/30/2020,United States
2020,11,Female,Non-Hispanic White,25-34 years,999,453,,72,14,,,,,,40,58,,41,36,05/10/2021,,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,,11/01/2020,11/30/2020,United States
2020,11,Female,Non-Hispanic White,35-44 years,"1,825",1193,15,328,47,0,10,24,11,,40,183,32,81,73,05/10/2021,,,,,,,,,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,,,,,11/01/2020,11/30/2020,United States
2020,11,Female,Non-Hispanic White,45-54 years,"3,689",3076,71,921,109,,49,98,52,30,65,464,96,287,269,05/10/2021,,,,,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,,,,,,,,,11/01/2020,11/30/2020,United States
2020,11,Female,Non-Hispanic White,55-64 years,"9,609",8931,180,"2,880",295,61,93,625,126,99,126,1343,275,1097,987,05/10/2021,,,,,,,,,,,,,,,,11/01/2020,11/30/2020,United States
2020,11,Female,Non-Hispanic White,65-74 years,"18,184",17655,288,"4,874",572,380,222,1292,278,300,117,2899,667,2751,2486,05/10/2021,,,,,,,,,,,,,,,,11/01/2020,11/30/2020,United States
2020,11,Female,Non-Hispanic White,75-84 years,"27,641",26987,318,"4,928",662,"1,694",320,1760,386,402,222,4732,1415,5106,4521,05/10/2021,,,,,,,,,,,,,,,,11/01/2020,11/30/2020,United States
2020,11,Female,Non-Hispanic White,85 years and over,"45,512",44339,350,"3,473",646,"4,403",531,1619,488,523,591,10055,3121,8557,7438,05/10/2021,,,,,,,,,,,,,,,,11/01/2020,11/30/2020,United States
2020,11,Female,Other,0-4 years,33,30,0,0,0,0,0,0,0,0,,0,0,0,0,05/10/2021,,,,,,,,,,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,,,,11/01/2020,11/30/2020,United States
2020,11,Female,Other,5-14 years,,,0,,0,0,0,0,,0,,0,0,0,0,05/10/2021,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,,,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,,,,11/01/2020,11/30/2020,United States
2020,11,Female,Other,15-24 years,19,,0,,0,0,0,0,0,0,0,0,0,,,05/10/2021,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,,,,,,,,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,11/01/2020,11/30/2020,United States
2020,11,Female,Other,25-34 years,36,22,0,,,0,,0,0,0,,,0,,,05/10/2021,,,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,11/01/2020,11/30/2020,United States
2020,11,Female,Other,35-44 years,42,27,0,,0,0,0,,0,0,,,,,,05/10/2021,,,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,11/01/2020,11/30/2020,United States
2020,11,Female,Other,45-54 years,82,69,0,21,,0,,0,,0,,10,,,,05/10/2021,,,,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,11/01/2020,11/30/2020,United States
2020,11,Female,Other,55-64 years,162,150,0,44,10,0,,,,,,33,,17,17,05/10/2021,,,,,,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,,11/01/2020,11/30/2020,United States
2020,11,Female,Other,65-74 years,217,213,,50,12,,,14,,,,43,12,34,33,05/10/2021,,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,,,,11/01/2020,11/30/2020,United States
2020,11,Female,Other,75-84 years,193,188,,38,,11,0,17,,,,31,,27,24,05/10/2021,,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,,11/01/2020,11/30/2020,United States
2020,11,Female,Other,85 years and over,204,202,,18,,19,,,,,,42,22,22,21,05/10/2021,,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,,,,11/01/2020,11/30/2020,United States
2020,11,Male,Hispanic,0-4 years,204,185,,,0,0,,0,,0,25,,,,,05/10/2021,,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,11/01/2020,11/30/2020,United States
2020,11,Male,Hispanic,5-14 years,55,31,0,,,0,,,,0,,,0,,,05/10/2021,,,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,11/01/2020,11/30/2020,United States
2020,11,Male,Hispanic,15-24 years,531,99,,30,,0,0,,,0,20,,,,,05/10/2021,,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,11/01/2020,11/30/2020,United States
2020,11,Male,Hispanic,25-34 years,796,264,0,30,13,0,,,,,28,30,,56,51,05/10/2021,,,,,,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,,11/01/2020,11/30/2020,United States
2020,11,Male,Hispanic,35-44 years,"1,049",632,,72,21,0,,0,,12,30,89,19,201,184,05/10/2021,,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,,,,,,11/01/2020,11/30/2020,United States
2020,11,Male,Hispanic,45-54 years,"1,669",1410,18,186,67,0,23,,15,18,36,208,52,467,443,05/10/2021,,,,,,,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,,,,,,,11/01/2020,11/30/2020,United States
2020,11,Male,Hispanic,55-64 years,"2,712",2524,27,412,122,,29,35,25,42,30,439,98,873,832,05/10/2021,,,,,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,,,,,,,,,11/01/2020,11/30/2020,United States
2020,11,Male,Hispanic,65-74 years,"3,151",3045,35,525,171,34,29,40,40,48,15,500,93,1165,1102,05/10/2021,,,,,,,,,,,,,,,,11/01/2020,11/30/2020,United States
2020,11,Male,Hispanic,75-84 years,"2,876",2813,28,416,119,76,36,86,41,54,20,505,111,945,889,05/10/2021,,,,,,,,,,,,,,,,11/01/2020,11/30/2020,United States
2020,11,Male,Hispanic,85 years and over,"2,386",2324,21,239,73,164,37,69,26,40,,516,151,607,555,05/10/2021,,,,,,,,,,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,,,,11/01/2020,11/30/2020,United States
2020,11,Male,Non-Hispanic American Indian or Alaska Native,0-4 years,18,12,0,0,0,0,0,0,0,0,0,0,,0,0,05/10/2021,,,,,,,,,,,,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,,11/01/2020,11/30/2020,United States
2020,11,Male,Non-Hispanic American Indian or Alaska Native,5-14 years,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,05/10/2021,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,,,,,,,,,,,,,,11/01/2020,11/30/2020,United States
2020,11,Male,Non-Hispanic American Indian or Alaska Native,15-24 years,33,,0,0,,0,0,0,0,0,0,0,0,,,05/10/2021,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,,,,,,,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,11/01/2020,11/30/2020,United States
2020,11,Male,Non-Hispanic American Indian or Alaska Native,25-34 years,84,41,0,,,0,0,0,0,0,,,0,,,05/10/2021,,,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,,,,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,11/01/2020,11/30/2020,United States
2020,11,Male,Non-Hispanic American Indian or Alaska Native,35-44 years,117,80,,,,0,0,,,0,11,,0,29,25,05/10/2021,,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,,,11/01/2020,11/30/2020,United States
2020,11,Male,Non-Hispanic American Indian or Alaska Native,45-54 years,143,119,,,,0,,,,,,16,,40,38,05/10/2021,,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,,11/01/2020,11/30/2020,United States
2020,11,Male,Non-Hispanic American Indian or Alaska Native,55-64 years,243,225,,27,22,0,,,,,,50,,68,63,05/10/2021,,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,,11/01/2020,11/30/2020,United States
2020,11,Male,Non-Hispanic American Indian or Alaska Native,65-74 years,332,323,,46,18,,,14,,,,48,,124,112,05/10/2021,,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,,11/01/2020,11/30/2020,United States
2020,11,Male,Non-Hispanic American Indian or Alaska Native,75-84 years,228,223,,25,,,,11,,,,23,10,101,95,05/10/2021,,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,,,,11/01/2020,11/30/2020,United States
2020,11,Male,Non-Hispanic American Indian or Alaska Native,85 years and over,110,107,,,,,,,,,,19,,45,42,05/10/2021,,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,,11/01/2020,11/30/2020,United States
2020,11,Male,Non-Hispanic Asian,0-4 years,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,05/10/2021,,,,,,,,,,,,,,,,11/01/2020,11/30/2020,United States
2020,11,Male,Non-Hispanic Asian,5-14 years,10,,0,,0,0,0,,0,0,,0,,0,0,05/10/2021,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,,11/01/2020,11/30/2020,United States
2020,11,Male,Non-Hispanic Asian,15-24 years,46,11,0,,,0,0,0,,0,,,0,0,0,05/10/2021,,,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,,,11/01/2020,11/30/2020,United States
2020,11,Male,Non-Hispanic Asian,25-34 years,69,32,0,,0,0,,,0,0,,,,,,05/10/2021,,,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,11/01/2020,11/30/2020,United States
2020,11,Male,Non-Hispanic Asian,35-44 years,146,116,,16,,0,,,,,,38,,17,15,05/10/2021,,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,,11/01/2020,11/30/2020,United States
2020,11,Male,Non-Hispanic Asian,45-54 years,290,256,,65,12,,,,,,,64,19,41,37,05/10/2021,,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,,,,11/01/2020,11/30/2020,United States
2020,11,Male,Non-Hispanic Asian,55-64 years,492,465,,149,24,,,,,10,10,90,21,86,78,05/10/2021,,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,,,,,,11/01/2020,11/30/2020,United States
